,price,currency,ad_situation,rooms,bath,building_space,measuring_unit,price/m2,brokered_by,direction,city,state,postal_code,índice_poder_adqui,índice_seguridad,índice_sanidad,índice_clima,índice_costo_vida,relación_precio_ingresos_propiedades,índice_costo_desplazamiento,índice_contaminación,índice_calidad_vida,latidud_,longitud_
34,350000,USD,New,3,2,155.0,m2,2258.0,"VAN DORM REALTY, INC","2937 Langridge Loop NW, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
35,335000,USD,New,3,2,156.0,m2,2147.0,Riley Jackson Real Estate Inc.,"8241 Sweetbrier SE, Olympia",Olympia,Washington,98513,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,36.2481817,59.600534
36,443500,USD,New,4,2,271.0,m2,1637.0,Wilcox Real Estate,"1225 Kiely Dr SE, Olympia",Olympia,Washington,98501,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.3931275206374,19.70882176239555
37,349900,USD,New,3,2,138.0,m2,2536.0,Better Properties Hometown,"9325 3rd Way SE, Olympia",Olympia,Washington,98513,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,36.2481817,59.600534
38,520000,USD,New,3,2,172.0,m2,3023.0,Weichert Realtors Premier Prop,"12424 Waddell Creek Rd SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
39,379950,USD,New,4,2,165.0,m2,2303.0,Abbey Realty Inc,"2924 Applehill Ct NE, Olympia",Olympia,Washington,98506,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.59161633333334,19.742317233735022
40,725000,USD,New,2,2,240.0,m2,3021.0,Keller Williams Realty Puget Sound,"1917 Summit Lake Shore Rd NW, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
41,699000,USD,New,3,2,191.0,m2,3660.0,"Coldwell Banker Evergreen Olympic Realty, Inc","3730 85th Ave NW, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
42,779000,USD,New,2,2,302.0,m2,2579.0,"VAN DORM REALTY, INC","7106 Puget Beach Rd NE, Olympia",Olympia,Washington,98516,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.1342656625,-122.73493423336308
43,470000,USD,New,3,2,214.0,m2,2196.0,Realogics Sotheby's Int'l Realty,"3132 Sugarloaf St SE, Olympia",Olympia,Washington,98501,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.3931275206374,19.70882176239555
