,Price,Currency,Brokered_by,AD_Situation,Rooms,Bath,Building space,Measruing unit,Address,City,State,Índice_poder_adqui,Índice_seguridad,Índice_sanidad,Índice_clima,Índice_costo_vida,Relación_precio_ingresos_propiedades,Índice_costo_desplazamiento,Índice_contaminación,Índice_calidad_vida
36,443500,USD,Wilcox Real Estate,New,4,2.5,2916,sqft,"1225 Kiely Dr SE, Olympia, WA 98501",Olympia, WA 98501,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
37,349900,USD,Better Properties Hometown,New,3,2.0,1484,sqft,"9325 3rd Way SE, Olympia, WA 98513",Olympia, WA 98513,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
38,520000,USD,Weichert Realtors Premier Prop,New,3,2.0,1848,sqft,"12424 Waddell Creek Rd SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
39,379950,USD,Abbey Realty Inc,New,4,2.5,1779,sqft,"2924 Applehill Ct NE, Olympia, WA 98506",Olympia, WA 98506,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
40,725000,USD,Keller Williams Realty Puget Sound,New,2,2.0,2586,sqft,"1917 Summit Lake Shore Rd NW, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
41,699000,USD,"Coldwell Banker Evergreen Olympic Realty, Inc",New,3,2.0,2060,sqft,"3730 85th Ave NW, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
42,779000,USD,"VAN DORM REALTY, INC",New,2,2.0,3248,sqft,"7106 Puget Beach Rd NE, Olympia, WA 98516",Olympia, WA 98516,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
43,470000,USD,Realogics Sotheby's Int'l Realty,New,3,2.5,2300,sqft,"3132 Sugarloaf St SE, Olympia, WA 98501",Olympia, WA 98501,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
44,715000,USD,Riley Jackson Real Estate Inc.,New,3,2.5,2356,sqft,"3308 Long Lake Dr SE, Olympia, WA 98503",Olympia, WA 98503,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
45,186999,USD,Adair Homes,New,5,2.5,2080,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
46,190499,USD,Adair Homes,New,3,2.0,1952,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
47,169499,USD,Adair Homes,New,4,2.0,1920,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
48,154999,USD,Adair Homes,New,3,2.0,1702,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
49,175499,USD,Adair Homes,New,4,2.0,1950,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
50,177999,USD,Adair Homes,New,3,2.5,1843,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
51,155999,USD,Adair Homes,New,3,2.0,1634,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
52,166999,USD,Adair Homes,New,3,2.0,1736,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
