,Unnamed: 0,Price,Currency,Brokered_by,AD_Situation,Rooms,Bath,Building space,Measruing unit,Address,City,State,Índice_poder_adqui,Índice_seguridad,Índice_sanidad,Índice_clima,Índice_costo_vida,Relación_precio_ingresos_propiedades,Índice_costo_desplazamiento,Índice_contaminación,Índice_calidad_vida
47,109,169499,USD,Adair Homes,New,4,2.0,1920,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
48,110,154999,USD,Adair Homes,New,3,2.0,1702,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
49,112,175499,USD,Adair Homes,New,4,2.0,1950,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
50,113,177999,USD,Adair Homes,New,3,2.5,1843,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
51,114,155999,USD,Adair Homes,New,3,2.0,1634,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
52,115,166999,USD,Adair Homes,New,3,2.0,1736,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
53,116,182999,USD,Adair Homes,New,3,2.0,1842,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
54,119,176499,USD,Adair Homes,New,3,2.0,1833,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
55,120,499000,USD,"City Realty, Inc.",New,3,2.0,1975,sqft,"1721 36th Ave NE, Olympia, WA 98506",Olympia, WA 98506,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
56,122,699900,USD,Better Properties Lacey,New,4,2.5,3300,sqft,"8819 82nd Ln SE, Olympia, WA 98513",Olympia, WA 98513,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
57,123,300000,USD,Blue Summit Realty LLC,New,3,2.0,1317,sqft,"2032 Bing Ct NW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
58,124,639950,USD,Coldwell Banker Bain of Kent Station,New,4,3.0,2791,sqft,"10533 Nyla Ln SE, Olympia, WA 98501",Olympia, WA 98501,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
59,125,334950,USD,"VAN DORM REALTY, INC",New,2,1.0,795,sqft,"2511 Birdie St NE, Olympia, WA 98506",Olympia, WA 98506,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
60,128,450000,USD,"RE/MAX Northwest Realtors - Olympia, WA",New,3,2.0,1836,sqft,"7829 Holiday Valley Dr NW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
61,132,669500,USD,"Coldwell Banker Evergreen Olympic Realty, Inc",New,4,2.5,2454,sqft,"5523 93rd Ave SE, Olympia, WA 98513",Olympia, WA 98513,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
62,133,349900,USD,"VAN DORM REALTY, INC",New,3,2.5,1648,sqft,"3326 Dartmouth Dr SE, Olympia, WA 98503",Olympia, WA 98503,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
63,134,515000,USD,Virgil Adams Real Estate,New,3,2.0,1622,sqft,"8110 Jamieson Ct SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
64,136,764500,USD,"City Realty, Inc.",New,4,2.5,3688,sqft,"9040 82nd Ln SE, Olympia, WA 98513",Olympia, WA 98513,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
65,137,330000,USD,"RE/MAX Northwest Realtors - Olympia, WA",New,3,2.0,1220,sqft,"1910 Quince St NE, Olympia, WA 98506",Olympia, WA 98506,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
66,138,274990,USD,"City Realty, Inc.",Old,2,2.0,1232,sqft,"2514 Blooms Ct SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
67,143,364900,USD,John L. Scott - Olympia,Old,3,2.0,1726,sqft,"6411 Sarazen St SE, Olympia, WA 98513",Olympia, WA 98513,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
68,145,1650000,USD,Morrison House Sotheby's Intl,New,4,4.0,5765,sqft,"2645 59th Ave NW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
69,147,499900,USD,RE/MAX PARKSIDE AFFILIATES,New,3,2.5,2350,sqft,"3915 Brigadoon Dr SE, Olympia, WA 98501",Olympia, WA 98501,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
70,148,1070000,USD,Keller Williams South Sound,New,3,3.5,3706,sqft,"1511 Lakemoor Loop Ct SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
71,155,218499,USD,Adair Homes,Old,3,2.5,2382,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
72,156,230500,USD,"CENTURY 21 North Homes Realty, Inc.",Old,2,1.5,1344,sqft,"6825 Condor Loop NE, Olympia, WA 98516",Olympia, WA 98516,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
73,157,204999,USD,Adair Homes,Old,4,2.5,2256,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
74,159,204999,USD,Adair Homes,Old,4,2.5,2359,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
75,162,192999,USD,Adair Homes,Old,3,2.5,2130,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
76,163,192999,USD,Adair Homes,Old,3,2.5,2222,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
77,164,350000,USD,"VAN DORM REALTY, INC",Old,3,1.5,1486,sqft,"318 Turner St NE, Olympia, WA 98506",Olympia, WA 98506,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
78,165,198999,USD,Adair Homes,Old,4,2.5,2160,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
79,167,399000,USD,Burger Professionals LLC,Old,3,2.0,2302,sqft,"1248 Bridle Dr SE, Olympia, WA 98501",Olympia, WA 98501,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
80,169,369000,USD,"RE/MAX Northwest Realtors - Olympia, WA",Old,4,2.0,2688,sqft,"6914 SE 5th Ct, Olympia, WA 98503",Olympia, WA 98503,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
81,170,549000,USD,Greene Realty Group LLC,Old,3,1.0,2334,sqft,"6135 Woodard Bay Rd NE, Olympia, WA 98506",Olympia, WA 98506,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
82,171,218999,USD,Adair Homes,Old,3,2.5,2198,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
83,173,200000,USD,MVP Realty Group,Old,2,2.0,996,sqft,"1407 SW Evergreen Park Dr Unit 204, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
84,176,449900,USD,Abbey Realty Inc,Old,4,2.0,2248,sqft,"4106 Green Cove St NW, Olympia, WA 98502",Olympia, WA 98502,"108,43","70,61","71,99","83,44","70,23","3,37","19,11","16,01","204,67"
